Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
Manawala,SHC,,40541,Taragarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6183343687,31.5592017,75.0587418,6183343687,30/07/20,30/07/20,Q3,,0,,Taragarh,,31.5592017,75.0587418,,246,"1,263","9,235","1,401",578
Manawala,SHC,,40541,Varpal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7177753444,31.5494371,74.9100987,7177753444,20/04/21,20/04/21,Q2,,0,,Varpal,,31.5494371,74.9100987,,,,534,,
Manawala,SHC,,40541,Wadala Johal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2846814578,31.6119297,75.0227944,2846814578,30/06/19,30/06/19,Q2,,0,,Wadala Johal,,31.6119297,75.0227944,,889,"1,513","5,893","1,575","1,392"
Ramdass,SHC,,40641,Adliwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2135253173,31.72641524,74.82848133,2135253173,30/11/19,30/11/19,Q4,,0,,Adliwal,,31.72641524,74.82848133,,89,850,"9,715","1,614",261
Ramdass,SHC,,40641,Ballarwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3455485478,31.8886253,74.7101128,3455485478,10/08/21,10/08/21,Q3,,0,,Ballarwal,,31.8886253,74.7101128,,264,767,"5,046","1,023",663
Ramdass,SHC,,40641,Bholian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3357424831,31.8244834,74.7393762,3357424831,30/11/19,30/11/19,Q4,,0,,Bholian,,31.8244834,74.7393762,,20,336,"6,709",433,20
Ramdass,SHC,,40641,Chamiari,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3342885666,31.9630323,74.9055199,3342885666,30/11/19,30/11/19,Q4,,0,,Chamiari,,31.9630323,74.9055199,,103,"2,870","8,194","3,017",924
Ramdass,SHC,,40641,Dhariwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7627844520,31.82337894,74.79607819,7627844520,18/10/21,18/10/21,Q4,,0,,Dhariwal,,31.82337894,74.79607819,,107,199,"8,417",496,158
Ramdass,SHC,,40641,Jagdev Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5434814462,31.7671211,74.863426,5434814462,30/11/19,30/11/19,Q4,,0,,Jagdev Kalan,,31.7671211,74.863426,,3,809,"6,755","2,938",236
Ramdass,SHC,,40641,Kamalpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4724353448,31.8278421,74.8597554,4724353448,29/07/20,29/07/20,Q3,,0,,Kamalpura,,31.8278421,74.8597554,,37,"2,657","9,863","3,252",484
